Lvl	Code	Display	Definition
2	UNCLE	uncle	The player of the role is a brother of the scoping person's mother or father.
3	MUNCLE	maternal uncle	Description:The player of the role is a biological brother of the scoping person's biological mother.
3	PUNCLE	paternal uncle	Description:The player of the role is a biological brother of the scoping person's biological father.
1	PRN	parent	The player of the role is one who begets, gives birth to, or nurtures and raises the scoping entity (child).
2	ADOPTP	adoptive parent	The player of the role (parent) has taken the scoper (child) into their family through legal means and raises them as his or her own child.
3	ADOPTF	adoptive father	The player of the role (father) is a male who has taken the scoper (child) into their family through legal means and raises them as his own child.
3	ADOPTM	adoptive mother	The player of the role (father) is a female who has taken the scoper (child) into their family through legal means and raises them as her own child.
2	FTH	father	The player of the role is a male who begets or raises or nurtures the scoping entity (child).
3	FTHFOST	foster father	"The player of the role (parent) who is a male state-certified caregiver responsible for the scoper (child) who has been placed in the parent's care. The placement of the child is usually arranged through the government or a social-service agency, and temporary.

                        The state, via a jurisdiction recognized child protection agency, stands as in loco parentis to the child, making all legal decisions while the foster parent is responsible for the day-to-day care of the specified child."
3	NFTH	natural father	The player of the role is a male who begets the scoping entity (child).
4	NFTHF	natural father of fetus	Indicates the biologic male parent of a fetus.
3	STPFTH	stepfather	The player of the role is the husband of scoping person's mother and not the scoping person's natural father.
2	MTH	mother	The player of the role is a female who conceives, gives birth to, or raises and nurtures the scoping entity (child).
3	GESTM	gestational mother	The player is a female whose womb carries the fetus of the scoper.  Generally used when the gestational mother and natural mother are not the same.
3	MTHFOST	foster mother	"The player of the role (parent) who is a female state-certified caregiver responsible for the scoper (child) who has been placed in the parent's care. The placement of the child is usually arranged through the government or a social-service agency, and temporary.

                        The state, via a jurisdiction recognized child protection agency, stands as in loco parentis to the child, making all legal decisions while the foster parent is responsible for the day-to-day care of the specified child."
3	NMTH	natural mother	The player of the role is a female who conceives or gives birth to the scoping entity (child).
4	NMTHF	natural mother of fetus	The player is the biologic female parent of the scoping fetus.
3	STPMTH	stepmother	The player of the role is the wife of scoping person's father and not the scoping person's natural mother.
2	NPRN	natural parent	natural parent
2	PRNFOST	foster parent	"The player of the role (parent) who is a state-certified caregiver responsible for the scoper (child) who has been placed in the parent's care. The placement of the child is usually arranged through the government or a social-service agency, and temporary.

                        The state, via a jurisdiction recognized child protection agency, stands as in loco parentis to the child, making all legal decisions while the foster parent is responsible for the day-to-day care of the specified child."
2	STPPRN	step parent	The player of the role is the spouse of the scoping person's parent and not the scoping person's natural parent.
1	SIB	sibling	The player of the role shares one or both parents in common with the scoping entity.
2	BRO	brother	The player of the role is a male sharing one or both parents in common with the scoping entity.
3	HBRO	half-brother	The player of the role is a male related to the scoping entity by sharing only one biological parent.
3	NBRO	natural brother	The player of the role is a male having the same biological parents as the scoping entity.
4	TWINBRO	twin brother	The scoper was carried in the same womb as the male player and shares common biological parents.
5	FTWINBRO	fraternal twin brother	The scoper was carried in the same womb as the male player and shares common biological parents but is the product of a distinct egg/sperm pair.
5	ITWINBRO	identical twin brother	The male scoper is an offspring of the same egg-sperm pair as the male player.
3	STPBRO	stepbrother	The player of the role is a son of the scoping person's stepparent.
2	HSIB	half-sibling	The player of the role is related to the scoping entity by sharing only one biological parent.
3	HSIS	half-sister	The player of the role is a female related to the scoping entity by sharing only one biological parent.
2	NSIB	natural sibling	The player of the role has both biological parents in common with the scoping entity.
3	NSIS	natural sister	The player of the role is a female having the same biological parents as the scoping entity.
4	TWINSIS	twin sister	The scoper was carried in the same womb as the female player and shares common biological parents.
5	FTWINSIS	fraternal twin sister	The scoper was carried in the same womb as the female player and shares common biological parents but is the product of a distinct egg/sperm pair.
5	ITWINSIS	identical twin sister	The female scoper is an offspring of the same egg-sperm pair as the female player.
3	TWIN	twin	The scoper and player were carried in the same womb and shared common biological parents.
4	FTWIN	fraternal twin	The scoper and player were carried in the same womb and share common biological parents but are the product of distinct egg/sperm pairs.
4	ITWIN	identical twin	The scoper and player are offspring of the same egg-sperm pair.
2	SIS	sister	The player of the role is a female sharing one or both parents in common with the scoping entity.
3	STPSIS	stepsister	The player of the role is a daughter of the scoping person's stepparent.
2	STPSIB	step sibling	The player of the role is a child of the scoping person's stepparent.
1	SIGOTHR	significant other	A person who is important to one's well being; especially a spouse or one in a similar relationship.  (The player is the one who is important)
2	DOMPART	domestic partner	The player of the role cohabits with the scoping person but is not the scoping person's spouse.
2	FMRSPS	former spouse	"Player of the role was previously joined to the scoping person in marriage and this marriage is now dissolved and inactive.

                        
                           Usage Note: This is significant to indicate as some jurisdictions have different legal requirements for former spouse to access the patient's record, from a general friend."
2	SPS	spouse	The player of the role is a marriage partner of the scoping person.
3	HUSB	husband	The player of the role is a man joined to a woman (scoping person) in marriage.
3	WIFE	wife	The player of the role is a woman joined to a man (scoping person) in marriage.
